Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,68.719,69.167,67.791,65.395,61.852,57.783,51.029,46.153,39.866,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.231622377,4.537878897,5.318555997,6.12846695,7.131541047
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.2,97,99.6,99.6,98.4,93.9,99.5,99.6,98.8,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.264223782,4.342115069,4.209095633,4.301913876,4.201845776,4.071308362,3.975771971,3.740650291,..,..
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,72.4,..,..,..,..,..,..,70.1,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,30.60122159,33.18739157,34.43213957,40.42762794,37.93224826,38.86839839,..,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3000.603523,2967.376558,3074.702071,..,..,..,..,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1936.80354,1967.021678,2029.922825,..,..,..,..,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838,16.6108724,18.03422899
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.39878E+11,1.50225E+11,1.53794E+11,1.77185E+11,1.81639E+11,2.25925E+11,2.77827E+11,2.80685E+11,2.55558E+11,2.46307E+11
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.33,2.322,2.312,2.301,2.241,2.168,2.039,1.994,1.911,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462,11716769819,6649187838,4722648813,6782348887
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,297672,295438,293204,290970,290100,288990,287910,286810,285730,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.43629E+11,5.2482E+11,4.47755E+11,3.8554E+11,4.87227E+11
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,11890,12870,12350,12600,12220,13140,12430,11220,9010,9960
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19180,19700,19280,19730,19860,22990,22460,22100,20220,23170
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,4.96046E+11,5.43286E+11,5.26785E+11,5.4328E+11,5.32504E+11,5.78798E+11,5.53193E+11,5.04056E+11,4.08849E+11,4.56139E+11
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8.00318E+11,8.31394E+11,8.22682E+11,8.50943E+11,8.65729E+11,1.0128E+12,9.99331E+11,9.93132E+11,9.17722E+11,1.06154E+12
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,16.50198653,17.3057789,17.26288101,17.07070488,17.66322786,18.21256717,16.61388502,14.2100304,14.13059546,17.47422751
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,6.636365083,7.458077939,7.061130378,9.225691782,8.982391303,9.205419254,5.40298411,5.212790589,6.903889256,4.422891393
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,94,95,89,90,89,94,86,77,81
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.32585021,14.70573667,13.60892749,14.9452529
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,5,5,5.1,..,4.9,5.1,5,4.7,4.8,5.1
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.71959233,23.15784774,22.18057291,23.57947301
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,42.03366896,49.19557906,40.07688303,54.15241194
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,..
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,27.09904323,27.24604172,25.48641191,19.67030526,20.40459154,19.51140569,24.24889721,25.51397521,25.22123342,28.96389194
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.784824721,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.745498855,0.706186671,0.726855652,0.565318001
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,153.3349717,158.9154655,142.9902363,142.9639551,145.9179567,140.5014607,131.9371685,125.9409814,121.6001889,130.4550081
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,13.3,12.7,12.2,11.6,11,10.3,9.5,8.6,7.7,6.9
Argentina,ARG,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,167.1272495,156.4980784,153.2871405,146.3443414,155.244929,150.7457768,152.5529498,151.2264533,152.1617937,..
Argentina,ARG,Net migration,SM.POP.NETM,3127,5369,5801,5522,5215,4926,4690,4478,2344,2344
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,177759994.5,34729999.54,48790000.92,-18870000.84,2619999.886,-1169999.957,73220001.22,8890000.343,101699996.9,153529998.8
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,577532962.1,535004409.4,505346891.7,494433532.1,391579047.7,479937459.8,522441503,561398444.7,651020615.8,911591594.1
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,16.42082662,16.58089261,..
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991,0.947490959
Argentina,ARG,"Population, total",SP.POP.TOTL,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
